full_date,date_key,year,quarter,month_number,month_name,week_of_year,day_name,is_weekend,is_payday,month_start
2013-01-01,20130101,2013,Q1,1,January,1,Tuesday,0,0,2013-01-01
2013-01-02,20130102,2013,Q1,1,January,1,Wednesday,0,0,2013-01-01
2013-01-03,20130103,2013,Q1,1,January,1,Thursday,0,0,2013-01-01
2013-01-04,20130104,2013,Q1,1,January,1,Friday,0,0,2013-01-01
2013-01-05,20130105,2013,Q1,1,January,1,Saturday,1,0,2013-01-01
2013-01-06,20130106,2013,Q1,1,January,1,Sunday,1,0,2013-01-01
2013-01-07,20130107,2013,Q1,1,January,2,Monday,0,0,2013-01-01
2013-01-08,20130108,2013,Q1,1,January,2,Tuesday,0,0,2013-01-01
2013-01-09,20130109,2013,Q1,1,January,2,Wednesday,0,0,2013-01-01
2013-01-10,20130110,2013,Q1,1,January,2,Thursday,0,0,2013-01-01
2013-01-11,20130111,2013,Q1,1,January,2,Friday,0,0,2013-01-01
2013-01-12,20130112,2013,Q1,1,January,2,Saturday,1,0,2013-01-01
2013-01-13,20130113,2013,Q1,1,January,2,Sunday,1,0,2013-01-01
2013-01-14,20130114,2013,Q1,1,January,3,Monday,0,0,2013-01-01
2013-01-15,20130115,2013,Q1,1,January,3,Tuesday,0,1,2013-01-01
2013-01-16,20130116,2013,Q1,1,January,3,Wednesday,0,0,2013-01-01
2013-01-17,20130117,2013,Q1,1,January,3,Thursday,0,0,2013-01-01
2013-01-18,20130118,2013,Q1,1,January,3,Friday,0,0,2013-01-01
2013-01-19,20130119,2013,Q1,1,January,3,Saturday,1,0,2013-01-01
2013-01-20,20130120,2013,Q1,1,January,3,Sunday,1,0,2013-01-01
2013-01-21,20130121,2013,Q1,1,January,4,Monday,0,0,2013-01-01
2013-01-22,20130122,2013,Q1,1,January,4,Tuesday,0,0,2013-01-01
2013-01-23,20130123,2013,Q1,1,January,4,Wednesday,0,0,2013-01-01
2013-01-24,20130124,2013,Q1,1,January,4,Thursday,0,0,2013-01-01
2013-01-25,20130125,2013,Q1,1,January,4,Friday,0,0,2013-01-01
2013-01-26,20130126,2013,Q1,1,January,4,Saturday,1,0,2013-01-01
2013-01-27,20130127,2013,Q1,1,January,4,Sunday,1,0,2013-01-01
2013-01-28,20130128,2013,Q1,1,January,5,Monday,0,0,2013-01-01
2013-01-29,20130129,2013,Q1,1,January,5,Tuesday,0,0,2013-01-01
2013-01-30,20130130,2013,Q1,1,January,5,Wednesday,0,0,2013-01-01
2013-01-31,20130131,2013,Q1,1,January,5,Thursday,0,1,2013-01-01
2013-02-01,20130201,2013,Q1,2,February,5,Friday,0,0,2013-02-01
2013-02-02,20130202,2013,Q1,2,February,5,Saturday,1,0,2013-02-01
2013-02-03,20130203,2013,Q1,2,February,5,Sunday,1,0,2013-02-01
2013-02-04,20130204,2013,Q1,2,February,6,Monday,0,0,2013-02-01
2013-02-05,20130205,2013,Q1,2,February,6,Tuesday,0,0,2013-02-01
2013-02-06,20130206,2013,Q1,2,February,6,Wednesday,0,0,2013-02-01
2013-02-07,20130207,2013,Q1,2,February,6,Thursday,0,0,2013-02-01
2013-02-08,20130208,2013,Q1,2,February,6,Friday,0,0,2013-02-01
2013-02-09,20130209,2013,Q1,2,February,6,Saturday,1,0,2013-02-01
2013-02-10,20130210,2013,Q1,2,February,6,Sunday,1,0,2013-02-01
2013-02-11,20130211,2013,Q1,2,February,7,Monday,0,0,2013-02-01
2013-02-12,20130212,2013,Q1,2,February,7,Tuesday,0,0,2013-02-01
2013-02-13,20130213,2013,Q1,2,February,7,Wednesday,0,0,2013-02-01
2013-02-14,20130214,2013,Q1,2,February,7,Thursday,0,0,2013-02-01
2013-02-15,20130215,2013,Q1,2,February,7,Friday,0,1,2013-02-01
2013-02-16,20130216,2013,Q1,2,February,7,Saturday,1,0,2013-02-01
2013-02-17,20130217,2013,Q1,2,February,7,Sunday,1,0,2013-02-01
2013-02-18,20130218,2013,Q1,2,February,8,Monday,0,0,2013-02-01
2013-02-19,20130219,2013,Q1,2,February,8,Tuesday,0,0,2013-02-01
2013-02-20,20130220,2013,Q1,2,February,8,Wednesday,0,0,2013-02-01
2013-02-21,20130221,2013,Q1,2,February,8,Thursday,0,0,2013-02-01
2013-02-22,20130222,2013,Q1,2,February,8,Friday,0,0,2013-02-01
2013-02-23,20130223,2013,Q1,2,February,8,Saturday,1,0,2013-02-01
2013-02-24,20130224,2013,Q1,2,February,8,Sunday,1,0,2013-02-01
2013-02-25,20130225,2013,Q1,2,February,9,Monday,0,0,2013-02-01
2013-02-26,20130226,2013,Q1,2,February,9,Tuesday,0,0,2013-02-01
2013-02-27,20130227,2013,Q1,2,February,9,Wednesday,0,0,2013-02-01
2013-02-28,20130228,2013,Q1,2,February,9,Thursday,0,1,2013-02-01
2013-03-01,20130301,2013,Q1,3,March,9,Friday,0,0,2013-03-01
2013-03-02,20130302,2013,Q1,3,March,9,Saturday,1,0,2013-03-01
2013-03-03,20130303,2013,Q1,3,March,9,Sunday,1,0,2013-03-01
2013-03-04,20130304,2013,Q1,3,March,10,Monday,0,0,2013-03-01
2013-03-05,20130305,2013,Q1,3,March,10,Tuesday,0,0,2013-03-01
2013-03-06,20130306,2013,Q1,3,March,10,Wednesday,0,0,2013-03-01
2013-03-07,20130307,2013,Q1,3,March,10,Thursday,0,0,2013-03-01
2013-03-08,20130308,2013,Q1,3,March,10,Friday,0,0,2013-03-01
2013-03-09,20130309,2013,Q1,3,March,10,Saturday,1,0,2013-03-01
2013-03-10,20130310,2013,Q1,3,March,10,Sunday,1,0,2013-03-01
2013-03-11,20130311,2013,Q1,3,March,11,Monday,0,0,2013-03-01
