month_start,store_nbr,family,unit_sales,promotion_units,observed_days,zero_sales_days
2013-01-01,1,AUTOMOTIVE,68.0,0,31,5
2013-01-01,1,BABY CARE,0.0,0,31,31
2013-01-01,1,BEAUTY,45.0,0,31,11
2013-01-01,1,BEVERAGES,28777.0,0,31,1
2013-01-01,1,BOOKS,0.0,0,31,31
2013-01-01,1,BREAD/BAKERY,8559.681,0,31,1
2013-01-01,1,CELEBRATION,0.0,0,31,31
2013-01-01,1,CLEANING,20388.0,0,31,1
2013-01-01,1,DAIRY,11789.0,0,31,1
2013-01-01,1,DELI,3425.182,0,31,1
2013-01-01,1,EGGS,4573.0,0,31,1
2013-01-01,1,FROZEN FOODS,2107.091,0,31,1
2013-01-01,1,GROCERY I,53397.0,0,31,1
2013-01-01,1,GROCERY II,739.0,0,31,1
2013-01-01,1,HARDWARE,55.0,0,31,9
2013-01-01,1,HOME AND KITCHEN I,0.0,0,31,31
2013-01-01,1,HOME AND KITCHEN II,0.0,0,31,31
2013-01-01,1,HOME APPLIANCES,2.0,0,31,30
2013-01-01,1,HOME CARE,0.0,0,31,31
2013-01-01,1,LADIESWEAR,0.0,0,31,31
2013-01-01,1,LAWN AND GARDEN,147.0,0,31,7
2013-01-01,1,LINGERIE,374.0,0,31,3
2013-01-01,1,"LIQUOR,WINE,BEER",2603.0,0,31,5
2013-01-01,1,MAGAZINES,0.0,0,31,31
2013-01-01,1,MEATS,9126.798,0,31,1
2013-01-01,1,PERSONAL CARE,3070.0,0,31,1
2013-01-01,1,PET SUPPLIES,0.0,0,31,31
2013-01-01,1,PLAYERS AND ELECTRONICS,0.0,0,31,31
2013-01-01,1,POULTRY,5170.815,0,31,1
2013-01-01,1,PREPARED FOODS,1704.0,0,31,1
2013-01-01,1,PRODUCE,0.0,0,31,31
2013-01-01,1,SCHOOL AND OFFICE SUPPLIES,0.0,0,31,31
2013-01-01,1,SEAFOOD,743.632,0,31,1
2013-01-01,2,AUTOMOTIVE,107.0,0,31,3
2013-01-01,2,BABY CARE,0.0,0,31,31
2013-01-01,2,BEAUTY,119.0,0,31,1
2013-01-01,2,BEVERAGES,36989.0,0,31,1
2013-01-01,2,BOOKS,0.0,0,31,31
2013-01-01,2,BREAD/BAKERY,10567.479,0,31,1
2013-01-01,2,CELEBRATION,0.0,0,31,31
2013-01-01,2,CLEANING,27606.0,0,31,1
2013-01-01,2,DAIRY,13716.0,0,31,1
2013-01-01,2,DELI,5597.765,0,31,1
2013-01-01,2,EGGS,5280.0,0,31,1
2013-01-01,2,FROZEN FOODS,2586.069,0,31,1
2013-01-01,2,GROCERY I,79979.0,0,31,1
2013-01-01,2,GROCERY II,678.0,0,31,1
2013-01-01,2,HARDWARE,22.0,0,31,19
