store_nbr,current_ytd_sales,current_ytd_promotion_units,prior_ytd_sales,growth_yoy,city,state,type,cluster
1,2.4365182e+06,45264,2.3367428e+06,0.042698503,Quito,Pichincha,D,13
2,3.564824e+06,51344,3.6974888e+06,-0.03587967,Quito,Pichincha,D,13
3,8.71234e+06,57910,8.3198245e+06,0.047178388,Quito,Pichincha,D,8
4,3.126437e+06,49737,3.065645e+06,0.019830108,Quito,Pichincha,D,9
5,2.287996e+06,48151,2.2142385e+06,0.033310533,Santo Domingo,Santo Domingo de los Tsachilas,D,4
6,4.242238e+06,54096,4.1033178e+06,0.033855557,Quito,Pichincha,D,13
7,4.77796e+06,51892,4.6353935e+06,0.030756116,Quito,Pichincha,D,8
8,5.250808e+06,55249,4.9921935e+06,0.051803827,Quito,Pichincha,D,8
9,4.378638e+06,63999,4.1660388e+06,0.05103147,Quito,Pichincha,B,6
10,1.4622728e+06,39566,1.4112684e+06,0.0361408,Quito,Pichincha,C,15
11,4.624729e+06,63630,4.3086805e+06,0.07335162,Cayambe,Pichincha,B,6
12,1.7941121e+06,45291,1.7111465e+06,0.0484854,Latacunga,Cotopaxi,C,15
13,1.5749066e+06,39431,1.5605155e+06,0.009222031,Latacunga,Cotopaxi,C,15
14,1.8672894e+06,42742,1.7112972e+06,0.09115434,Riobamba,Chimborazo,C,7
15,1.8554666e+06,47368,1.7757995e+06,0.044862628,Ibarra,Imbabura,C,15
16,1.4833814e+06,43806,1.4906696e+06,-0.00488925,Santo Domingo,Santo Domingo de los Tsachilas,C,3
17,3.3672592e+06,52515,3.1794052e+06,0.059084654,Quito,Pichincha,C,12
18,2.5741462e+06,59990,2.356423e+06,0.09239566,Quito,Pichincha,B,16
19,2.1208118e+06,43390,2.0648449e+06,0.027104616,Guaranda,Bolivar,C,15
20,3.6122565e+06,61530,3.4342848e+06,0.051822066,Quito,Pichincha,B,6
21,2.9800565e+06,58743,2.4832568e+06,0.20005977,Santo Domingo,Santo Domingo de los Tsachilas,B,6
22,1.5172142e+06,44513,1.2282535e+06,0.23526144,Puyo,Pastaza,C,7
23,1.9058966e+06,43243,1.8019732e+06,0.057672024,Ambato,Tungurahua,D,9
24,4.0584748e+06,51445,3.9620488e+06,0.02433741,Guayaquil,Guayas,D,1
25,2.137267e+06,42002,1.922944e+06,0.11145568,Salinas,Santa Elena,D,1
26,1.163097e+06,36920,1.02265294e+06,0.13733304,Guayaquil,Guayas,D,10
27,3.5070285e+06,49718,3.2115725e+06,0.091997266,Daule,Guayas,D,1
28,3.42031e+06,59128,3.1062125e+06,0.10111916,Guayaquil,Guayas,E,10
29,2.8100762e+06,59152,2.5358282e+06,0.10814929,Guayaquil,Guayas,E,10
30,1.3062179e+06,38426,1.2056366e+06,0.08342588,Guayaquil,Guayas,C,3
31,3.018913e+06,55297,2.8324395e+06,0.065835,Babahoyo,Los Rios,B,10
32,1.1306414e+06,34136,890266.4,0.27000344,Guayaquil,Guayas,C,3
33,2.2003512e+06,52856,2.1363762e+06,0.029945612,Quevedo,Los Rios,C,3
34,2.5701702e+06,54209,2.4579028e+06,0.045676112,Guayaquil,Guayas,B,6
35,1.2853314e+06,40679,1.234099e+06,0.04151404,Playas,Guayas,C,3
36,2.7494305e+06,57044,2.6438002e+06,0.039953947,Libertad,Guayas,E,10
37,3.185796e+06,50128,2.997272e+06,0.06289852,Cuenca,Azuay,D,2
38,3.005988e+06,48154,2.702616e+06,0.11225128,Loja,Loja,D,4
39,3.73907e+06,61613,3.3840465e+06,0.10491097,Cuenca,Azuay,B,6
40,3.504945e+06,51456,3.062849e+06,0.14434147,Machala,El Oro,C,3
41,2.9451142e+06,47077,2.3672882e+06,0.2440877,Machala,El Oro,D,4
42,3.065485e+06,48266,2.5767178e+06,0.18968594,Cuenca,Azuay,D,2
43,3.2863738e+06,53653,2.4026365e+06,0.3678198,Esmeraldas,Esmeraldas,E,10
44,1.049012e+07,62435,9.842087e+06,0.065843105,Quito,Pichincha,A,5
45,9.655921e+06,62149,8.775486e+06,0.10032892,Quito,Pichincha,A,11
46,7.237324e+06,61213,6.153389e+06,0.17615247,Quito,Pichincha,A,14
47,9.069118e+06,62200,8.022611e+06,0.13044465,Quito,Pichincha,A,14
48,6.0161465e+06,59220,5.3856635e+06,0.11706686,Quito,Pichincha,A,14
49,8.3842485e+06,60654,7.5442155e+06,0.111347914,Quito,Pichincha,A,11
50,4.915228e+06,56373,4.262912e+06,0.15302122,Ambato,Tungurahua,A,14
51,5.364285e+06,52582,5.2423925e+06,0.023251295,Guayaquil,Guayas,A,17
52,2.6961698e+06,30814,0.0,,Manta,Manabi,A,11
53,2.7115392e+06,46680,2.853694e+06,-0.049814284,Manta,Manabi,D,13
54,2.0693276e+06,40570,1.7765524e+06,0.16479969,El Carmen,Manabi,C,3
