family,current_ytd_sales,current_ytd_promotion_units,prior_ytd_sales,growth_yoy
AUTOMOTIVE,91024.0,2355,86763.0,0.04911077
BABY CARE,2737.0,7,3039.0,-0.09937477
BEAUTY,66711.0,7967,57364.0,0.16294193
BEVERAGES,4.395259e+07,312868,3.7594228e+07,0.1691314
BOOKS,2319.0,0,0.0,
BREAD/BAKERY,6.8403665e+06,117172,6.3767345e+06,0.07270682
CELEBRATION,166142.0,841,170664.0,-0.02649653
CLEANING,1.5498816e+07,280870,1.3936701e+07,0.112086415
DAIRY,1.14557e+07,328455,1.0401138e+07,0.10138905
DELI,3.887022e+06,163403,3.5038475e+06,0.10935819
EGGS,2.416757e+06,46676,2.188536e+06,0.10428023
FROZEN FOODS,1.6487651e+06,34475,1.6365195e+06,0.007482767
GROCERY I,5.7140936e+07,680033,5.2421764e+07,0.09002316
GROCERY II,315565.0,3341,243314.0,0.29694545
HARDWARE,17352.0,19,15146.0,0.14564908
HOME AND KITCHEN I,413805.0,33548,336415.0,0.23004329
HOME AND KITCHEN II,365155.0,15858,328036.0,0.113155246
HOME APPLIANCES,6993.0,21,4925.0,0.4198985
HOME CARE,3.763123e+06,109907,3.475791e+06,0.082666636
LADIESWEAR,147023.0,788,137810.0,0.06685293
LAWN AND GARDEN,204918.0,6346,62023.0,2.3039033
LINGERIE,85976.0,1188,63918.0,0.34509838
"LIQUOR,WINE,BEER",1.113771e+06,25498,1.090079e+06,0.021734238
MAGAZINES,79008.0,16,75156.0,0.051253438
MEATS,4.5409005e+06,76876,4.2978655e+06,0.05654788
PERSONAL CARE,4.029656e+06,110016,3.893052e+06,0.035089135
PET SUPPLIES,106818.0,1143,76288.0,0.40019405
PLAYERS AND ELECTRONICS,143360.0,917,112863.0,0.27021253
POULTRY,4.8149095e+06,48029,4.704816e+06,0.023400187
PREPARED FOODS,1.2389718e+06,9276,1.2994905e+06,-0.046571136
PRODUCE,2.9275406e+07,315983,2.7641422e+07,0.05911362
SCHOOL AND OFFICE SUPPLIES,112778.0,7524,36827.0,2.0623727
SEAFOOD,271689.78,8233,290373.7,-0.06434435
