family,actual_sales,forecast_sales,absolute_error,forecast_bias,wape,forecast_accuracy
AUTOMOTIVE,6381.0,5799.5,2762.5,-0.09112991694091835,0.4329258736875098,0.5670741263124902
BABY CARE,160.0,91.125,189.875,-0.43046875,1.18671875,0.0
BEAUTY,5757.0,4459.75,2538.5,-0.22533437554281743,0.4409414625673094,0.5590585374326906
BEVERAGES,3.005407e+06,3033757.0,587230.75,0.009432998592203983,0.19539142285886738,0.8046085771411327
BOOKS,9.0,5.25,13.25,-0.4166666666666667,1.4722222222222223,0.0
BREAD/BAKERY,466795.5,459898.29155158997,60003.549016952515,-0.014775653253748236,0.1285435464072651,0.8714564535927349
CELEBRATION,10768.0,10520.625,4570.125,-0.022973161218424965,0.42441725482912335,0.5755827451708766
CLEANING,1.065243e+06,1041975.75,269836.25,-0.021842199385492325,0.25330957349637595,0.746690426503624
DAIRY,721034.0,737074.0,86091.25,0.02224583029371708,0.11939970930635727,0.8806002906936428
DELI,261902.89,266324.7358059883,40423.19591665268,0.016883529503764184,0.15434421445363794,0.845655785546362
EGGS,172529.0,171296.75,31950.25,-0.007142277530154351,0.18518770757379918,0.8148122924262008
FROZEN FOODS,110014.16,107433.34566497803,21425.44937133789,-0.023458895409398484,0.19475174924443317,0.8052482507555668
GROCERY I,3.9804125e+06,3812120.2004089355,609906.1592712402,-0.04228011533755972,0.15322687265986634,0.8467731273401337
GROCERY II,25031.0,28507.625,11428.125,0.13889277296152772,0.4565588670049139,0.5434411329950861
HARDWARE,1252.0,1105.5,1003.0,-0.11701277955271565,0.8011182108626198,0.1988817891373802
HOME AND KITCHEN I,27020.0,24661.25,9805.25,-0.08729644707623982,0.3628886010362694,0.6371113989637306
HOME AND KITCHEN II,26789.0,23860.875,9827.375,-0.10930325880025384,0.3668436671768263,0.6331563328231737
HOME APPLIANCES,173.0,180.375,267.625,0.04263005780346821,1.5469653179190752,0.0
HOME CARE,251893.0,269739.625,59881.125,0.07085002362114072,0.2377244504611085,0.7622755495388915
LADIESWEAR,8711.0,9344.25,3414.0,0.07269544254391,0.3919182642635748,0.6080817357364252
LAWN AND GARDEN,12908.0,13445.125,4123.625,0.041611791137279204,0.3194627362875736,0.6805372637124264
LINGERIE,6716.0,5037.375,3906.875,-0.24994416319237642,0.5817264740917213,0.4182735259082787
"LIQUOR,WINE,BEER",84091.0,73803.0,25063.0,-0.12234365152037674,0.298046164274417,0.701953835725583
MAGAZINES,6146.0,5341.875,2553.875,-0.13083712984054668,0.4155344939798243,0.5844655060201758
MEATS,321070.53,316572.5398430824,48282.92399930954,-0.014009356104423153,0.1503810512018441,0.8496189487981559
PERSONAL CARE,277631.0,253416.75,59386.0,-0.08721738566658623,0.21390262614765643,0.7860973738523436
PET SUPPLIES,7283.0,7058.0,2623.5,-0.03089386241933269,0.3602224358094192,0.6397775641905807
PLAYERS AND ELECTRONICS,10084.0,9451.75,3278.25,-0.06269833399444665,0.32509420864736216,0.6749057913526378
POULTRY,323560.28,330123.55481004715,48432.55261468887,0.02028454646748194,0.14968633488505126,0.8503136651149488
PREPARED FOODS,75871.66,75572.83342003822,13546.137276887894,-0.003938530470155338,0.1785401551305649,0.8214598448694351
PRODUCE,1.9774804e+06,2002160.7451515198,209932.76331329346,0.012480715593205205,0.10616174297724368,0.8938382570227563
SCHOOL AND OFFICE SUPPLIES,51795.0,2040.625,50175.875,-0.9606018920745246,0.9687397432184573,0.03126025678154265
SEAFOOD,17260.92,16750.057281315327,4381.852765262127,-0.029596489808880355,0.25385974705258585,0.7461402529474142
