store_nbr,actual_sales,forecast_sales,absolute_error,forecast_bias,wape,forecast_accuracy,city,state,type,cluster
1,155135.62,168502.71727776527,25088.260471582413,0.08616391159519468,0.161718241516624,0.8382817584833759,Quito,Pichincha,D,13
2,213634.6,232989.94106793404,35445.30922961235,0.09060024866845347,0.16591558795525058,0.8340844120447495,Quito,Pichincha,D,13
3,538086.8,570856.1906681061,64068.4303188324,0.06089979796356016,0.11906708886093059,0.8809329111390694,Quito,Pichincha,D,8
4,187479.34,198053.6654396057,30264.480926036835,0.05640259603055984,0.16142834896197375,0.8385716510380262,Quito,Pichincha,D,9
5,156442.88,164426.07950651646,23843.075016379356,0.05102951800468034,0.1524075482272961,0.8475924517727039,Santo Domingo,Santo Domingo de los Tsachilas,D,4
6,257699.86,270891.4342777729,33224.429493665695,0.05118968607420453,0.128926843709752,0.8710731562902481,Quito,Pichincha,D,13
7,286238.03,305655.0368690491,35017.055377960205,0.06783517037989364,0.12233543958166881,0.8776645604183312,Quito,Pichincha,D,8
8,324826.4,338029.865111351,37018.084765434265,0.04064773862993478,0.1139626706855341,0.8860373293144659,Quito,Pichincha,D,8
9,303853.38,270085.39430999756,58571.01647090912,-0.11113248516657892,0.19276078954498735,0.8072392104550127,Quito,Pichincha,B,6
10,114855.5,96024.46769714355,24370.398796081543,-0.16395411889597317,0.21218312397822955,0.7878168760217704,Quito,Pichincha,C,15
11,340283.8,300579.74986839294,61664.47721862793,-0.11667925764645962,0.18121484170989746,0.8187851582901026,Cayambe,Pichincha,B,6
12,123828.41,118253.54811096191,21664.566146850586,-0.045020834135447704,0.17495635131660742,0.8250436486833925,Latacunga,Cotopaxi,C,15
13,114921.914,101368.6212515831,21956.71846151352,-0.11793479878472939,0.19105771636880683,0.8089422836311931,Latacunga,Cotopaxi,C,15
14,136648.14,122732.96574497223,29735.95023059845,-0.10183215678151691,0.21760962201602185,0.7823903779839781,Riobamba,Chimborazo,C,7
15,125263.5,121808.32842063904,18060.998613357544,-0.027583227191967027,0.1441840489317123,0.8558159510682877,Ibarra,Imbabura,C,15
16,104594.09,97239.67449212074,21138.379992723465,-0.0703139058258656,0.20209917438787947,0.7979008256121205,Santo Domingo,Santo Domingo de los Tsachilas,C,3
17,220880.27,216697.12941360474,27690.445987701416,-0.01893847872537963,0.12536405599363476,0.8746359440063652,Quito,Pichincha,C,12
18,162414.11,164305.48364162445,26469.326114416122,0.01164538151212856,0.16297430202508306,0.8370256979749169,Quito,Pichincha,B,16
19,150509.45,142169.87161827087,22282.147506713867,-0.05540902138421165,0.1480448373445903,0.8519551626554097,Guaranda,Bolivar,C,15
20,288872.72,235024.85385930538,69774.92459619045,-0.18640688924763554,0.24154210511161484,0.7584578948883851,Quito,Pichincha,B,6
21,235963.33,209084.26332187653,45561.05978679657,-0.11391204309885165,0.19308534147586232,0.8069146585241377,Santo Domingo,Santo Domingo de los Tsachilas,B,6
22,121737.914,107594.43500709534,27440.28038406372,-0.11617973878001088,0.2254045553136054,0.7745954446863946,Puyo,Pastaza,C,7
23,120386.484,127423.60275363922,18174.981953144073,0.05845438892225497,0.15097194712098738,0.8490280528790126,Ambato,Tungurahua,D,9
24,268779.94,278863.18710160255,29172.29895377159,0.037514889300852505,0.10853599872487354,0.8914640012751265,Guayaquil,Guayas,D,1
25,154921.53,118712.67871618271,40095.50307512283,-0.23372382290352098,0.25881168841805413,0.7411883115819459,Salinas,Santa Elena,D,1
26,74602.875,79704.69544529915,22239.209906816483,0.06838637847802982,0.2981012448490287,0.7018987551509712,Guayaquil,Guayas,D,10
27,236020.0,243764.77962195873,34383.767125725746,0.0328140819505073,0.14568158260200723,0.8543184173979927,Daule,Guayas,D,1
28,260467.97,233178.86134529114,55738.47976112366,-0.10476953283611332,0.213993605542423,0.786006394457577,Guayaquil,Guayas,E,10
29,213341.06,195885.33779144287,36469.55690193176,-0.08182074516741066,0.17094485456559383,0.8290551454344062,Guayaquil,Guayas,E,10
30,105535.49,94389.66304779053,25584.020051956177,-0.1056121396573126,0.24242100474125083,0.7575789952587492,Guayaquil,Guayas,C,3
31,236023.38,216982.23939466476,41297.86408948898,-0.08067478742448808,0.17497361898790315,0.8250263810120968,Babahoyo,Los Rios,B,10
32,83639.45,66114.5606341362,25391.872362613678,-0.20952901813780003,0.3035872595276929,0.6964127404723071,Guayaquil,Guayas,C,3
33,164523.8,153700.68370723724,32862.88673877716,-0.0657844845143333,0.19974549191656055,0.8002545080834395,Quevedo,Los Rios,C,3
34,181220.11,163229.1230494976,29176.664705991745,-0.09927698635405592,0.1610012531535133,0.8389987468464867,Guayaquil,Guayas,B,6
35,91229.164,81604.08735704422,19452.56055498123,-0.10550438343227343,0.2132274339558183,0.7867725660441817,Playas,Guayas,C,3
36,213441.47,175002.83405733109,46571.17014360428,-0.18008981533804647,0.2181917619680186,0.7818082380319814,Libertad,Guayas,E,10
37,196512.9,221865.60657823086,38353.208392739296,0.129012902063428,0.19516890327776779,0.8048310967222322,Cuenca,Azuay,D,2
38,197783.48,199962.553491354,49108.01247739792,0.011017447302235034,0.2482917753854943,0.7517082246145057,Loja,Loja,D,4
39,261722.19,263479.6294476986,58281.787966012955,0.006714913872934801,0.22268569784903297,0.777314302150967,Cuenca,Azuay,B,6
40,287750.84,254202.25179290771,67447.9803237915,-0.11658903070407517,0.2343971591700728,0.7656028408299271,Machala,El Oro,C,3
41,200789.77,214941.09800863266,46293.61646747589,0.07047835500770513,0.230557649805394,0.7694423501946059,Machala,El Oro,D,4
42,181667.7,204817.6540991068,41376.3639370203,0.127430195768909,0.22775850206324505,0.7722414979367549,Cuenca,Azuay,D,2
43,264231.62,251393.16273784637,38983.43611431122,-0.04858790942285438,0.14753508825565909,0.8524649117443409,Esmeraldas,Esmeraldas,E,10
44,656651.4,704872.7054424286,108158.97094726562,0.07343520820683364,0.16471292845045155,0.8352870715495484,Quito,Pichincha,A,5
45,631268.5,634715.0468492508,87124.25391864777,0.005459716189308976,0.13801457528555244,0.8619854247144476,Quito,Pichincha,A,11
46,456761.6,464995.68428206444,82898.31180405617,0.01802710789333837,0.18149142339981636,0.8185085766001836,Quito,Pichincha,A,14
47,581797.2,588241.6478672028,93207.16216278076,0.01107681595178347,0.16020559082331548,0.8397944091766845,Quito,Pichincha,A,14
48,403740.97,386619.82279765606,81083.54889070988,-0.042406263613404827,0.20083061954735026,0.7991693804526497,Quito,Pichincha,A,14
49,518238.8,532376.0595884323,60513.01331996918,0.02727940622631832,0.11676665633755322,0.8832333436624468,Quito,Pichincha,A,11
50,326493.25,340759.76905822754,57545.35603046417,0.043696214418606015,0.1762528200214374,0.8237471799785626,Ambato,Tungurahua,A,14
