month_start,unit_sales,promotion_units,prior_month_sales,growth_mom,prior_year_sales,growth_yoy,is_complete_month
2013-01-01,1.0327625e+07,0,,,,,True
2013-02-01,9.65896e+06,0,1.0327625e+07,-0.06474531,,,True
2013-03-01,1.1428497e+07,0,9.65896e+06,0.18320155,,,True
2013-04-01,1.0993465e+07,0,1.1428497e+07,-0.038065553,,,True
2013-05-01,1.1597704e+07,0,1.0993465e+07,0.05496347,,,True
2013-06-01,1.1689344e+07,0,1.1597704e+07,0.007901549,,,True
2013-07-01,1.1257401e+07,0,1.1689344e+07,-0.03695184,,,True
2013-08-01,1.1737789e+07,0,1.1257401e+07,0.04267311,,,True
2013-09-01,1.1792933e+07,0,1.1737789e+07,0.004698038,,,True
2013-10-01,1.177562e+07,0,1.1792933e+07,-0.0014680624,,,True
2013-11-01,1.2356559e+07,0,1.177562e+07,0.04933405,,,True
2013-12-01,1.5803117e+07,0,1.2356559e+07,0.27892542,,,True
2014-01-01,1.891164e+07,0,1.5803117e+07,0.1967032,1.0327625e+07,0.8311703,True
2014-02-01,1.2038353e+07,0,1.891164e+07,-0.36344212,9.65896e+06,0.24634051,True
2014-03-01,2.0365584e+07,0,1.2038353e+07,0.69172513,1.1428497e+07,0.7820002,True
2014-04-01,1.2861251e+07,1939,2.0365584e+07,-0.3684811,1.0993465e+07,0.1698997,True
2014-05-01,1.3379785e+07,11575,1.2861251e+07,0.040317535,1.1597704e+07,0.15365803,True
2014-06-01,1.3319958e+07,21496,1.3379785e+07,-0.0044714212,1.1689344e+07,0.13949573,True
2014-07-01,1.9421892e+07,69665,1.3319958e+07,0.4581046,1.1257401e+07,0.72525537,True
2014-08-01,1.3885176e+07,42940,1.9421892e+07,-0.28507602,1.1737789e+07,0.18294644,True
2014-09-01,2.0022416e+07,71659,1.3885176e+07,0.44199944,1.1792933e+07,0.69783175,True
2014-10-01,2.0396102e+07,76899,2.0022416e+07,0.018663406,1.177562e+07,0.73206186,True
2014-11-01,2.0531636e+07,71034,2.0396102e+07,0.0066450834,1.2356559e+07,0.6615982,True
2014-12-01,2.4340454e+07,91907,2.0531636e+07,0.18550968,1.5803117e+07,0.5402312,True
2015-01-01,1.4896922e+07,53148,2.4340454e+07,-0.38797683,1.891164e+07,-0.2122882,True
2015-02-01,1.3742396e+07,40744,1.4896922e+07,-0.077501,1.2038353e+07,0.14155114,True
2015-03-01,1.5598608e+07,42360,1.3742396e+07,0.135072,2.0365584e+07,-0.23407018,True
2015-04-01,1.4955068e+07,54375,1.5598608e+07,-0.04125625,1.2861251e+07,0.16280043,True
2015-05-01,1.7730368e+07,62882,1.4955068e+07,0.18557584,1.3379785e+07,0.32516086,True
2015-06-01,2.161536e+07,97827,1.7730368e+07,0.21911514,1.3319958e+07,0.62277985,True
2015-07-01,2.220962e+07,112742,2.161536e+07,0.027492523,1.9421892e+07,0.14353538,True
2015-08-01,2.2963674e+07,105614,2.220962e+07,0.03395164,1.3885176e+07,0.6538266,True
2015-09-01,2.3240882e+07,140873,2.2963674e+07,0.0120716095,2.0022416e+07,0.16074312,True
2015-10-01,2.3878268e+07,115220,2.3240882e+07,0.02742517,2.0396102e+07,0.17072701,True
2015-11-01,2.2804954e+07,128497,2.3878268e+07,-0.044949412,2.0531636e+07,0.11072266,True
2015-12-01,2.7243982e+07,132993,2.2804954e+07,0.19465196,2.4340454e+07,0.119288206,True
2016-01-01,2.3977804e+07,119578,2.7243982e+07,-0.11988622,1.4896922e+07,0.6095811,True
2016-02-01,2.1947408e+07,183541,2.3977804e+07,-0.08467817,1.3742396e+07,0.5970583,True
2016-03-01,2.313178e+07,181790,2.1947408e+07,0.053964138,1.5598608e+07,0.48293877,True
2016-04-01,2.5963026e+07,215312,2.313178e+07,0.12239635,1.4955068e+07,0.7360687,True
2016-05-01,2.4779432e+07,370019,2.5963026e+07,-0.04558766,1.7730368e+07,0.39757013,True
2016-06-01,2.2209218e+07,285416,2.4779432e+07,-0.103723705,2.161536e+07,0.027473927,True
2016-07-01,2.3462672e+07,264605,2.2209218e+07,0.056438446,2.220962e+07,0.056419373,True
2016-08-01,2.2452414e+07,271592,2.3462672e+07,-0.043058097,2.2963674e+07,-0.022263885,True
2016-09-01,2.2417448e+07,296361,2.2452414e+07,-0.0015573502,2.3240882e+07,-0.03543043,True
2016-10-01,2.403039e+07,370514,2.2417448e+07,0.07195032,2.3878268e+07,0.006370783,True
2016-11-01,2.464264e+07,438358,2.403039e+07,0.025478125,2.2804954e+07,0.08058274,True
2016-12-01,2.9640288e+07,517498,2.464264e+07,0.20280492,2.7243982e+07,0.08795726,True
2017-01-01,2.632816e+07,363428,2.9640288e+07,-0.111744106,2.3977804e+07,0.0980221,True
2017-02-01,2.3250112e+07,297254,2.632816e+07,-0.116910875,2.1947408e+07,0.059355736,True
2017-03-01,2.6704018e+07,339291,2.3250112e+07,0.14855433,2.313178e+07,0.15442991,True
2017-04-01,2.5895308e+07,371042,2.6704018e+07,-0.030284226,2.5963026e+07,-0.0026082397,True
2017-05-01,2.6911848e+07,414646,2.5895308e+07,0.03925574,2.4779432e+07,0.086055875,True
2017-06-01,2.5682822e+07,394582,2.6911848e+07,-0.045668602,2.2209218e+07,0.15640366,True
2017-07-01,2.7011478e+07,409128,2.5682822e+07,0.051733255,2.3462672e+07,0.15125322,True
2017-08-01,1.2433323e+07,160278,2.7011478e+07,-0.53970224,2.2452414e+07,-0.44623667,False
