year,quarter,unit_sales,promotion_units
2013,Q1,3.1415082e+07,0
2013,Q2,3.428051e+07,0
2013,Q3,3.4788124e+07,0
2013,Q4,3.9935296e+07,0
2014,Q1,5.1315576e+07,0
2014,Q2,3.9560996e+07,35010
2014,Q3,5.3329484e+07,184264
2014,Q4,6.526819e+07,239840
2015,Q1,4.4237924e+07,136252
2015,Q2,5.4300796e+07,215084
2015,Q3,6.841418e+07,359229
2015,Q4,7.39272e+07,376710
2016,Q1,6.905699e+07,484909
2016,Q2,7.295167e+07,870747
2016,Q3,6.8332536e+07,832558
2016,Q4,7.831332e+07,1326370
2017,Q1,7.628229e+07,999973
2017,Q2,7.8489976e+07,1180270
2017,Q3,3.94448e+07,569406
